System performance, unit is seconds,
System performance measures the performance of the entire system, including both CPU work and GPU work. The benchmark is timed right before and after the script is ran.,
batch 64,batch 128,batch 256,
646.211,702.396,842.585,



Approximate accelerator performance, unit is seconds,
Approximate accelerator performance aims at measuring only the performance of the accelerator. The benchmark does its best to exclude CPU work from performance measurement and approximates the accelerator performance.,
batch 64,batch 128,batch 256,
530.346,581.938,659.524,
