System performance, unit is seconds,
System performance measures the performance of the entire system, including both CPU work and GPU work. The benchmark is timed right before and after the script is ran.,
batch 1,batch 32,batch 64,
20.194,24.099,30.283,



Approximate accelerator performance, unit is seconds,
Approximate accelerator performance aims at measuring only the performance of the accelerator. The benchmark does its best to exclude CPU work from performance measurement and approximates the accelerator performance.,
batch 1,batch 32,batch 64,
1.66,5.418,11.316,
